55;91
32;16
35;39
52;21
43;82
96;98
73;10
70;21
26;77
36;79
32;29
33;37
17;88
92;73
42;36
70;90
49;57
86;26
58;4
95;11
46;4
33;64
34;18
58;96
67;63
97;18
32;10
24;32
74;63
22;49
4;19
80;36
79;76
22;39
33;83
97;24
22;54
58;11
70;72
1;17
30;58
32;44
35;90
5;75
72;68
50;28
16;15
48;52
93;73
79;20
59;40
74;46
94;34
25;73
10;89
13;91
88;90
56;17
49;14
57;58
60;94
87;85
88;14
48;67
88;96
75;90
3;89
90;61
52;34
17;15
70;64
84;40
76;92
19;76
78;90
70;2
36;61
30;29
42;33
67;51
73;57
85;8
36;75
84;35
45;22
4;57
49;77
27;44
64;54
69;31
67;47
44;64
2;94
78;59
63;48
66;41
33;43
46;84
57;77
44;86
