66;74
64;77
72;35
76;26
15;98
25;43
88;5
3;74
69;28
80;45
69;17
84;83
40;63
28;5
67;50
79;64
15;71
80;25
85;97
27;52
50;69
81;23
51;40
45;24
73;21
51;22
34;49
24;37
84;24
3;73
75;85
22;0
56;93
62;25
6;1
45;73
16;84
21;68
68;19
14;49
74;28
17;21
40;28
66;0
90;62
27;70
92;84
22;93
19;11
94;1
29;67
3;39
50;68
30;47
67;74
95;16
34;83
2;9
13;69
10;0
1;35
93;45
84;89
97;22
97;37
43;11
43;86
68;18
6;40
35;78
30;33
77;86
46;48
95;29
52;56
91;81
16;70
90;21
46;23
65;32
85;91
92;23
1;38
23;71
65;16
93;23
45;52
12;76
20;51
16;27
46;15
37;75
33;36
5;33
11;91
88;93
45;14
72;46
27;53
93;89
