10;15
10;29
10;37
10;42
10;76
10;96
16;12
16;25
16;40
16;87
16;95
23;28
23;29
23;57
23;72
23;77
23;93
27;26
27;28
27;33
27;47
27;51
27;65
27;78
27;82
27;95
27;98
31;12
31;13
31;23
31;26
31;33
31;42
31;50
31;63
31;67
31;81
31;85
31;88
31;91
31;92
52;10
52;26
52;3
52;41
52;57
52;7
52;94
57;0
57;13
57;30
57;34
57;60
57;64
57;65
57;73
57;91
57;98
6;0
6;1
6;12
6;16
6;24
6;34
6;47
6;49
6;50
6;57
6;66
6;69
6;81
6;87
6;99
75;12
75;44
75;46
75;47
75;54
75;59
75;86
75;92
89;12
89;22
89;33
89;42
89;43
89;55
89;56
89;58
89;7
89;77
89;8
97;16
97;21
97;60
97;7
97;70
97;79
97;91
27;81
