88;93
33;65
78;20
74;78
0;75
29;58
53;46
69;91
79;66
41;20
57;63
49;92
58;52
78;99
54;86
23;32
75;19
57;3
37;38
5;52
86;87
39;37
89;45
3;63
79;52
23;49
35;78
47;7
63;26
11;26
47;69
99;7
89;85
9;45
79;63
12;63
58;70
54;23
52;55
99;85
98;57
33;25
46;27
9;15
84;2
62;71
39;2
56;55
81;66
71;87
85;19
6;10
46;13
97;8
65;82
20;32
36;11
50;5
2;47
24;81
91;29
21;70
23;26
13;34
34;61
54;94
9;31
16;50
84;86
22;49
60;69
82;22
84;28
77;35
7;53
99;66
85;62
14;94
59;35
5;32
71;60
6;63
42;62
0;82
64;8
33;40
70;65
60;53
9;36
47;26
34;37
63;54
77;28
95;11
69;79
39;23
20;52
60;2
50;2
44;86
