40;36
36;71
20;58
43;69
12;9
88;63
95;89
54;31
2;60
10;78
16;34
79;13
91;83
31;63
59;1
40;84
21;99
62;77
1;3
98;91
21;24
49;20
22;25
8;29
77;13
82;33
25;85
51;63
87;71
11;24
25;7
38;22
83;84
70;38
3;10
94;73
88;61
14;21
26;13
96;59
71;76
27;98
24;6
26;2
25;18
91;82
39;90
38;59
2;52
76;8
29;41
35;69
75;14
34;75
98;30
79;12
93;67
17;3
58;63
29;51
81;90
99;80
33;70
35;79
73;83
47;21
84;12
6;81
3;85
63;24
83;75
1;16
30;7
66;68
31;53
65;37
66;23
45;41
42;41
18;69
89;46
37;35
97;96
90;27
26;66
2;48
49;45
21;54
16;69
12;49
61;22
85;38
48;1
61;84
80;16
83;81
23;93
63;72
89;59
10;7
